sampleID	hyenaID	matriline	DOB	age_yrs	reproductive_state	social_rank	standardized_social_rank	sample_date	sample_year	prey_abundance	alpha-diversity?	beta-diversity?	metagenomes?
P295	D1	1	25-Jun-96	3.5	other	1	1.00	6-Jan-00	2000	73.25	Yes	Yes	No
P296	D4	4	4-Jan-92	8.25	lactating	15	-0.86	1-May-00	2000	88.67	Yes	Yes	No
P297	G2	2	20-Jul-08	5.58	lactating	31	-0.33	21-Feb-14	2014	93.50	Yes	Yes	No
P298	D4	4	4-Jan-92	2.67	pregnant	12	0.04	12-Sep-94	1994	346.50	Yes	Yes	No
P299	M4	4	1-Mar-87	12.08	lactating	20	-0.26	23-Apr-99	1999	265.00	Yes	Yes	No
P3	D1	1	25-Jun-96	3.17	lactating	2	0.93	15-Sep-99	1999	329.00	Yes	Yes	No
P30	M3	3	1-Feb-85	9.5	lactating	7	0.47	16-Aug-94	1994	237.50	Yes	Yes	No
P300	D1	1	25-Jun-96	3.25	lactating	2	0.93	26-Sep-99	1999	114.50	Yes	Yes	No
P301	G3	3	2-Mar-07	7.67	lactating	45	-0.95	23-Nov-14	2014	95.20	Yes	Yes	Yes
P302	D2	2	28-Jun-03	5.92	lactating	14	-0.23	30-May-09	2009	NA	No	No	No
P303	M1	1	1-Jan-83	13.25	lactating	1	1.00	9-Apr-96	1996	370.50	Yes	Yes	No
P304	D1	1	25-Jun-96	4.83	lactating	1	1.00	5-May-01	2001	256.75	Yes	Yes	Yes
P31	D1	1	25-Jun-96	10.25	lactating	1	1.00	16-Oct-06	2006	46.83	Yes	Yes	No
P32	M4	4	1-Mar-87	12.83	lactating	14	-0.88	11-Jan-00	2000	73.25	Yes	Yes	No
P33	D3	3	7-Nov-92	13.17	lactating	14	-0.63	27-Jan-06	2006	37.75	Yes	Yes	No
P34	D3	3	7-Nov-92	9.58	lactating	12	-0.29	19-Jun-02	2002	88.00	Yes	Yes	No
P35	D3	3	7-Nov-92	7.92	lactating	10	-0.20	24-Oct-00	2000	66.75	Yes	Yes	No
P36	D1	1	25-Jun-96	3.25	lactating	2	0.93	30-Sep-99	1999	114.50	Yes	Yes	No
P37	M2	2	23-Jul-94	11.5	lactating	11	-0.25	9-Feb-06	2006	47.67	Yes	Yes	No
P38	M2	2	23-Jul-94	3.67	nulliparous	12	0.21	22-Apr-98	1998	159.50	Yes	Yes	No
P39	M2	2	23-Jul-94	10.42	lactating	11	-0.11	10-Jan-05	2005	53.50	Yes	Yes	No
P4	G1	1	20-Mar-01	14.5	lactating	NA	NA	12-Oct-15	2015	31.67	Yes	Yes	Yes
P40	D2	2	28-Jun-03	12.75	lactating	NA	NA	21-Apr-16	2016	170.33	Yes	Yes	No
P41	D3	3	7-Nov-92	8.33	lactating	12	-0.29	12-Mar-01	2001	317.25	Yes	Yes	Yes
P42	G4	4	4-Mar-03	8.17	lactating	34	-0.69	24-May-11	2011	106.44	Yes	Yes	No
P43	G1	1	20-Mar-01	12.17	lactating	15	0.40	20-May-13	2013	251.29	Yes	Yes	No
P44	D3	3	7-Nov-92	9.25	lactating	12	-0.29	23-Feb-02	2002	208.75	Yes	Yes	No
P45	D3	3	7-Nov-92	4.08	lactating	14	0.10	21-Dec-96	1996	226.75	Yes	Yes	No
