run,Latitude,Longitude,ABS_latit,log2sum_RPKM,SMN30cm_1,haiba,totP,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,annual_solar_radiation,annual_average_temp,geo_continent,geo_loc_me5,geo_loc_me,RPKM_16S,log2_RPKM_16S,sum-RPKM,CN30cm_1,SMC30cm_1,annual_average_prec,labP,orgP,soc_0.30_mean
SRR10360613,39.5673,-123.4758,39.5673,10.34429591,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,807.939,9.658102562,1300,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360614,39.5673,-123.4758,39.5673,10.22460468,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,666.665,9.380818177,1196.5,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360615,39.7393,-123.6309,39.7393,10.00225245,17.73430061,572,370.8750305,222.1352132,494.5514476,5.775642522,187430,11.42000024,North America,North America,USA:California,663.989,9.375015531,1025.6,5.212356567,92.4375,1613,25.62075424,97.24111176,704.665685
SRR10360616,39.5673,-123.4758,39.5673,10.33585927,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,845.346,9.723398147,1292.42,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360617,39.5673,-123.4758,39.5673,10.57511375,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,801.076,9.645795311,1525.55,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360618,39.5673,-123.4758,39.5673,10.26937217,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,768.492,9.585886431,1234.21,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360619,39.5673,-123.4758,39.5673,11.03685358,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,556.667,9.120670751,2100.99,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360620,39.5673,-123.4758,39.5673,11.23237296,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,631.578,9.302817108,2405.92,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360621,39.5673,-123.4758,39.5673,10.43205118,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,693.437,9.437621007,1381.53,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360622,39.5673,-123.4758,39.5673,10.89201148,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,1059.51,10.04918149,1900.3,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360623,39.5673,-123.4758,39.5673,11.24841387,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,533.944,9.06054463,2432.82,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360624,39.5673,-123.4758,39.5673,11.21299483,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,593.927,9.214141809,2373.82,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360625,39.5673,-123.4758,39.5673,10.83313519,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,738.425,9.528307587,1824.31,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360626,39.7393,-123.6309,39.7393,10.78183507,17.73430061,572,370.8750305,222.1352132,494.5514476,5.775642522,187430,11.42000024,North America,North America,USA:California,1015.39,9.987818242,1760.58,5.212356567,92.4375,1613,25.62075424,97.24111176,704.665685
