sample	coverage	taxonomy
Novel_genomes_no_reference_R1	1.91	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Wielerella; s__Wielerella bovis
Novel_genomes_no_reference_R1	2.56	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Gallionellaceae; g__Sideroxyarcus; s__Sideroxyarcus emersonii
Novel_genomes_no_reference_R1	3.01	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A; f__Alteromonadaceae; g__Paraneptunicella; s__Paraneptunicella aestuarii
Novel_genomes_no_reference_R1	2.56	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A; f__Alteromonadaceae; g__Planctobacterium; s__Planctobacterium marinum
Novel_genomes_no_reference_R1	3.69	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A; f__Neiellaceae; g__Echinimonas; s__Echinimonas agarilytica
Novel_genomes_no_reference_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Schneideria; s__Schneideria nysicola
Novel_genomes_no_reference_R1	2.73	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Hartigia; s__Hartigia pinicola
Novel_genomes_no_reference_R1	3.01	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Gillettellia; s__Gillettellia cooleyia
Novel_genomes_no_reference_R1	1.66	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Steffania; s__Steffania adelgidicola
Novel_genomes_no_reference_R1	2.0	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Ecksteinia; s__Ecksteinia adelgidicola
Novel_genomes_no_reference_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Granulosicoccales; f__Granulosicoccaceae; g__JAHDCO01; s__JAHDCO01 sp020629835
Novel_genomes_no_reference_R1	1.88	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Sedimenticolaceae; g__Vondammii; s__Vondammii sp022530855
Novel_genomes_no_reference_R1	2.16	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Sedimenticolaceae; g__JAKITT01; s__JAKITT01 sp021647945
